snr_db,time only,frequency only,both
20,1.0,1.0,1.0
15,1.0,0.9987864077669902,1.0
10,1.0,0.9830097087378641,1.0
5,0.9987864077669902,0.7633495145631068,0.8628640776699029
0,0.837378640776699,0.5716019417475728,0.7330097087378641
-5,0.14441747572815533,0.5716019417475728,0.13106796116504854
-10,0.14320388349514562,0.5716019417475728,0.050970873786407765
